"date"	"Flux"
"30-Apr-12"	-167.02
"27-Apr-12"	-137.649999999998
"26-Apr-12"	-150.049999999999
"25-Apr-12"	-136.849999999999
"24-Apr-12"	-98.7299999999996
"23-Apr-12"	-103.139999999999
"20-Apr-12"	-107.699999999997
"19-Apr-12"	-123.189999999999
"18-Apr-12"	-125.649999999998
"17-Apr-12"	-119.860000000001
"16-Apr-12"	-123.529999999999
"13-Apr-12"	-125.32
"12-Apr-12"	-113.23
"11-Apr-12"	-92.1899999999987
"10-Apr-12"	-109.009999999998
"9-Apr-12"	-99.3299999999981
"5-Apr-12"	-79.239999999998
"4-Apr-12"	-64.0399999999972
"3-Apr-12"	-60.4300000000003
"2-Apr-12"	-47.2799999999988
"30-Mar-12"	8.43000000000029
"29-Mar-12"	-5.46999999999753
"28-Mar-12"	8.20000000000073
"27-Mar-12"	17.3000000000029
"26-Mar-12"	19.1200000000026
"23-Mar-12"	44.5800000000017
"22-Mar-12"	76.7100000000028
"21-Mar-12"	101.200000000001
"20-Mar-12"	79.1599999999999
"19-Mar-12"	80.5900000000001
"16-Mar-12"	83.7200000000012
"15-Mar-12"	87.010000000002
"14-Mar-12"	243.760000000002
"13-Mar-12"	225.190000000002
"12-Mar-12"	241.990000000002
"9-Mar-12"	252.510000000002
"8-Mar-12"	236.5
"7-Mar-12"	263.280000000002
"6-Mar-12"	375.18
"5-Mar-12"	313.16
"2-Mar-12"	263.900000000001
"1-Mar-12"	275.43
"29-Feb-12"	277.950000000001
"28-Feb-12"	254.830000000002
"27-Feb-12"	247.330000000002
"24-Feb-12"	247.030000000002
"23-Feb-12"	237.77
"22-Feb-12"	250.490000000002
"21-Feb-12"	241.870000000003
"17-Feb-12"	242.490000000002
"16-Feb-12"	232.610000000001
"15-Feb-12"	213.110000000001
"14-Feb-12"	212.800000000003
"13-Feb-12"	200.690000000002
"10-Feb-12"	197.460000000003
"9-Feb-12"	193.150000000001
"8-Feb-12"	164.650000000001
"7-Feb-12"	158.59
"6-Feb-12"	152.920000000002
"3-Feb-12"	129.050000000003
"2-Feb-12"	97.8100000000013
"1-Feb-12"	77.9099999999999
"31-Jan-12"	50.1900000000023
"30-Jan-12"	21.6900000000023
"27-Jan-12"	68.9400000000023
"26-Jan-12"	37.5600000000013
"25-Jan-12"	-28.9799999999996
"24-Jan-12"	93.8400000000001
"23-Jan-12"	39.2400000000016
"20-Jan-12"	14.3400000000001
"19-Jan-12"	-11.1999999999971
"18-Jan-12"	-14.7899999999972
"17-Jan-12"	-21.25
"13-Jan-12"	-67.25
"12-Jan-12"	-91.8299999999981
"11-Jan-12"	-100.52
"10-Jan-12"	-118.009999999998
"9-Jan-12"	-142.969999999998
"6-Jan-12"	-154.169999999998
"5-Jan-12"	-166.860000000001
"4-Jan-12"	-169.869999999999
"3-Jan-12"	-187.189999999999
"30-Dec-11"	-213.739999999998
"29-Dec-11"	-242.039999999997
"28-Dec-11"	-252.889999999999
"27-Dec-11"	-259.699999999997
"23-Dec-11"	-255.989999999998
"22-Dec-11"	-255.619999999999
"21-Dec-11"	-259.199999999997
"20-Dec-11"	-257.709999999999
"19-Dec-11"	-166.459999999999
"16-Dec-11"	-159.709999999999
"15-Dec-11"	-140.34
"14-Dec-11"	-155.829999999998
"13-Dec-11"	-146.169999999998
"12-Dec-11"	-129.059999999998
"9-Dec-11"	-113.699999999997
"8-Dec-11"	-98.9099999999999
"7-Dec-11"	-44.0900000000001
"6-Dec-11"	-115.75
"5-Dec-11"	-98.1399999999994
"2-Dec-11"	-19.3999999999978
"1-Dec-11"	-108.789999999997
"30-Nov-11"	-101.02
"29-Nov-11"	-99.4099999999999
"28-Nov-11"	-86.0099999999984
"25-Nov-11"	-71.3499999999985
"23-Nov-11"	-67.9399999999987
"22-Nov-11"	-59.5099999999984
"21-Nov-11"	-43.1800000000003
"18-Nov-11"	-31.2999999999993
"17-Nov-11"	-27.2199999999975
"16-Nov-11"	-11.0599999999977
"15-Nov-11"	67.8700000000026
"14-Nov-11"	70.4799999999996
"11-Nov-11"	130.030000000002
"10-Nov-11"	94.6500000000015
"9-Nov-11"	93.7900000000009
"8-Nov-11"	90.9300000000003
"7-Nov-11"	101.190000000002
"4-Nov-11"	125.780000000002
"3-Nov-11"	114.600000000002
"2-Nov-11"	105.950000000001
"1-Nov-11"	135.75
"31-Oct-11"	141.880000000001
"28-Oct-11"	143.190000000002
"27-Oct-11"	149.670000000002
"26-Oct-11"	155
"25-Oct-11"	149.360000000001
"24-Oct-11"	170.760000000002
"21-Oct-11"	152.880000000001
"20-Oct-11"	159.43
"19-Oct-11"	144.490000000002
"18-Oct-11"	157.050000000003
"17-Oct-11"	169.330000000002
"14-Oct-11"	163.760000000002
"13-Oct-11"	164.740000000002
"12-Oct-11"	170.240000000002
"11-Oct-11"	178.07
"10-Oct-11"	179.66
"7-Oct-11"	158.32
"6-Oct-11"	162.420000000002
"5-Oct-11"	150.139999999999
"4-Oct-11"	139.490000000002
"3-Oct-11"	133.82
"30-Sep-11"	179.32
"29-Sep-11"	110.98
"28-Sep-11"	97.0900000000001
"27-Sep-11"	84.4000000000015
"26-Sep-11"	79.1700000000019
"23-Sep-11"	68.6399999999994
"22-Sep-11"	52.8000000000029
"21-Sep-11"	6.93000000000029
"20-Sep-11"	-32.1299999999974
"19-Sep-11"	-66.3999999999978
"16-Sep-11"	-107.119999999999
"15-Sep-11"	-140.610000000001
"14-Sep-11"	-146.719999999998
"13-Sep-11"	-178.149999999998
"12-Sep-11"	-208.07
"9-Sep-11"	-46.8400000000001
"8-Sep-11"	-36.2199999999975
"7-Sep-11"	-57.1999999999971
"6-Sep-11"	-79.1599999999999
"2-Sep-11"	-89.0699999999997
"1-Sep-11"	-103.879999999997
"31-Aug-11"	-109.16
"30-Aug-11"	-96.119999999999
"29-Aug-11"	-87.6800000000003
"26-Aug-11"	83.8000000000029
"25-Aug-11"	-23.3400000000001
"24-Aug-11"	-90.8199999999997
"23-Aug-11"	-140.189999999999
"22-Aug-11"	-132.110000000001
"19-Aug-11"	-189.029999999999
"18-Aug-11"	-107.5
"17-Aug-11"	-171.110000000001
"16-Aug-11"	-216.399999999998
"15-Aug-11"	-212.09
"12-Aug-11"	-221.57
"11-Aug-11"	-216.23
"10-Aug-11"	-227.360000000001
"9-Aug-11"	-208.459999999999
"8-Aug-11"	-172.189999999999
"5-Aug-11"	-172.059999999998
"4-Aug-11"	-160.959999999999
"3-Aug-11"	-148.869999999999
"2-Aug-11"	169.100000000002
"1-Aug-11"	-12.8899999999994
"29-Jul-11"	-88.7899999999972
"28-Jul-11"	-115.48
"27-Jul-11"	-127.629999999997
"26-Jul-11"	-139.610000000001
"25-Jul-11"	-121.939999999999
"22-Jul-11"	-107.099999999999
"21-Jul-11"	-64.0900000000001
"20-Jul-11"	-68.4099999999999
"19-Jul-11"	-63.4699999999975
"18-Jul-11"	-59.489999999998
"15-Jul-11"	-49.3999999999978
"14-Jul-11"	-49.9199999999983
"13-Jul-11"	66.2900000000009
"12-Jul-11"	514.360000000001
"11-Jul-11"	144.870000000003
"8-Jul-11"	68.3500000000022
"7-Jul-11"	34.510000000002
"6-Jul-11"	110.030000000002
"5-Jul-11"	128.850000000002
"1-Jul-11"	126.760000000002
"30-Jun-11"	128.510000000002
"29-Jun-11"	194.18
"28-Jun-11"	140.630000000001
